subject,time,order,condition,item,rating,RT,age,gender,motherTongue,dialekt,parents,growUp,highestEducation,priorLing,zscores
01a01ae4917d90369cec2dbaa610bf9a,1510331373,10,introItems,501,7,17384,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,1.06276966066401
01a01ae4917d90369cec2dbaa610bf9a,1510331373,11,introItems,502,1,22454,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-1.41337408480059
01a01ae4917d90369cec2dbaa610bf9a,1510331373,12,introItems,503,3,19616,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-0.587992836312391
01a01ae4917d90369cec2dbaa610bf9a,1510331373,13,introItems,504,1,15488,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-1.41337408480059
01a01ae4917d90369cec2dbaa610bf9a,1510331373,14,introItems,505,6,9342,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,0.650079036419911
01a01ae4917d90369cec2dbaa610bf9a,1510331373,93,ShortNaarIsl,37,5,17608,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,0.23738841217581
01a01ae4917d90369cec2dbaa610bf9a,1510331373,306,BF,213,1,12553,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-1.41337408480059
01a01ae4917d90369cec2dbaa610bf9a,1510331373,136,LongAdjunctNoIsl,52,3,15492,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-0.587992836312391
01a01ae4917d90369cec2dbaa610bf9a,1510331373,279,BF,305,6,5106,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,0.650079036419911
01a01ae4917d90369cec2dbaa610bf9a,1510331373,189,ShortAdjunctIsl,65,5,18355,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,0.23738841217581
01a01ae4917d90369cec2dbaa610bf9a,1510331373,162,LongAdjunctIsl,58,5,11067,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,0.23738841217581
01a01ae4917d90369cec2dbaa610bf9a,1510331373,275,BF,301,1,11332,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-1.41337408480059
01a01ae4917d90369cec2dbaa610bf9a,1510331373,56,LongNaarNoIsl,26,5,14477,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,0.23738841217581
01a01ae4917d90369cec2dbaa610bf9a,1510331373,282,BF,308,3,15799,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-0.587992836312391
01a01ae4917d90369cec2dbaa610bf9a,1510331373,114,LongNaarIsl,42,1,14430,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-1.41337408480059
01a01ae4917d90369cec2dbaa610bf9a,1510331373,115,ShortNaarNoIsl,43,6,10787,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,0.650079036419911
01a01ae4917d90369cec2dbaa610bf9a,1510331373,307,BF,201,1,6828,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-1.41337408480059
01a01ae4917d90369cec2dbaa610bf9a,1510331373,163,ShortAdjunctNoIsl,59,7,19172,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,1.06276966066401
01a01ae4917d90369cec2dbaa610bf9a,1510331373,305,BF,332,1,8682,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-1.41337408480059
01a01ae4917d90369cec2dbaa610bf9a,1510331373,248,LongSubjectNoIsl,109,6,17488,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,0.650079036419911
01a01ae4917d90369cec2dbaa610bf9a,1510331373,125,ShortNaarIsl,46,7,20846,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,1.06276966066401
01a01ae4917d90369cec2dbaa610bf9a,1510331373,303,BF,329,1,8828,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-1.41337408480059
01a01ae4917d90369cec2dbaa610bf9a,1510331373,168,LongAdjunctNoIsl,60,5,14344,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,0.23738841217581
01a01ae4917d90369cec2dbaa610bf9a,1510331373,298,BF,324,1,7066,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-1.41337408480059
01a01ae4917d90369cec2dbaa610bf9a,1510331373,157,ShortAdjunctIsl,57,7,9114,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,1.06276966066401
01a01ae4917d90369cec2dbaa610bf9a,1510331373,258,LongSubjectIsl,113,1,23333,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-1.41337408480059
01a01ae4917d90369cec2dbaa610bf9a,1510331373,286,BF,312,3,9114,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-0.587992836312391
01a01ae4917d90369cec2dbaa610bf9a,1510331373,210,LongAdjunctIsl,72,4,8756,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-0.17530221206829
01a01ae4917d90369cec2dbaa610bf9a,1510331373,290,BF,316,1,10130,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-1.41337408480059
01a01ae4917d90369cec2dbaa610bf9a,1510331373,72,LongNaarNoIsl,32,5,10471,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,0.23738841217581
01a01ae4917d90369cec2dbaa610bf9a,1510331373,16,localTop,602,1,12755,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-1.41337408480059
01a01ae4917d90369cec2dbaa610bf9a,1510331373,82,LongNaarIsl,34,3,8703,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-0.587992836312391
01a01ae4917d90369cec2dbaa610bf9a,1510331373,51,ShortNaarNoIsl,25,7,9302,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,1.06276966066401
01a01ae4917d90369cec2dbaa610bf9a,1510331373,284,BF,310,1,7954,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-1.41337408480059
01a01ae4917d90369cec2dbaa610bf9a,1510331373,269,ShortSubjectIsl,118,6,21592,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,0.650079036419911
01a01ae4917d90369cec2dbaa610bf9a,1510331373,292,BF,318,1,7670,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-1.41337408480059
01a01ae4917d90369cec2dbaa610bf9a,1510331373,179,ShortAdjunctNoIsl,63,7,13886,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,1.06276966066401
01a01ae4917d90369cec2dbaa610bf9a,1510331373,227,ShortSubjectNoIsl,103,7,15009,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,1.06276966066401
01a01ae4917d90369cec2dbaa610bf9a,1510331373,278,BF,304,1,5211,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-1.41337408480059
01a01ae4917d90369cec2dbaa610bf9a,1510331373,216,LongSubjectNoIsl,98,7,12981,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,1.06276966066401
01a01ae4917d90369cec2dbaa610bf9a,1510331373,291,BF,317,2,17819,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-1.00068346055649
01a01ae4917d90369cec2dbaa610bf9a,1510331373,61,ShortNaarIsl,28,7,32674,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,1.06276966066401
01a01ae4917d90369cec2dbaa610bf9a,1510331373,34,longWhetherIsla,20,4,24323,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-0.17530221206829
01a01ae4917d90369cec2dbaa610bf9a,1510331373,294,BF,320,1,5234,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-1.41337408480059
01a01ae4917d90369cec2dbaa610bf9a,1510331373,184,LongAdjunctNoIsl,64,6,85374,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,0.650079036419911
01a01ae4917d90369cec2dbaa610bf9a,1510331373,309,BF,203,1,8676,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-1.41337408480059
01a01ae4917d90369cec2dbaa610bf9a,1510331373,141,ShortAdjunctIsl,53,7,7982,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,1.06276966066401
01a01ae4917d90369cec2dbaa610bf9a,1510331373,226,LongSubjectIsl,100,1,13027,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-1.41337408480059
01a01ae4917d90369cec2dbaa610bf9a,1510331373,293,BF,319,3,8252,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-0.587992836312391
01a01ae4917d90369cec2dbaa610bf9a,1510331373,194,LongAdjunctIsl,66,7,20751,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,1.06276966066401
01a01ae4917d90369cec2dbaa610bf9a,1510331373,276,BF,302,1,11822,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-1.41337408480059
01a01ae4917d90369cec2dbaa610bf9a,1510331373,29,shortWhetherIsl,19,7,24391,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,1.06276966066401
01a01ae4917d90369cec2dbaa610bf9a,1510331373,104,LongNaarNoIsl,40,5,8355,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,0.23738841217581
01a01ae4917d90369cec2dbaa610bf9a,1510331373,287,BF,313,1,9633,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-1.41337408480059
01a01ae4917d90369cec2dbaa610bf9a,1510331373,98,LongNaarIsl,38,5,7049,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,0.23738841217581
01a01ae4917d90369cec2dbaa610bf9a,1510331373,18,localTop,604,7,19735,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,1.06276966066401
01a01ae4917d90369cec2dbaa610bf9a,1510331373,67,ShortNaarNoIsl,31,7,10604,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,1.06276966066401
01a01ae4917d90369cec2dbaa610bf9a,1510331373,297,BF,323,7,9485,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,1.06276966066401
01a01ae4917d90369cec2dbaa610bf9a,1510331373,24,longWhetherNoI,18,7,8142,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,1.06276966066401
01a01ae4917d90369cec2dbaa610bf9a,1510331373,253,ShortSubjectIsl,110,7,12402,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,1.06276966066401
01a01ae4917d90369cec2dbaa610bf9a,1510331373,300,BF,326,5,18843,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,0.23738841217581
01a01ae4917d90369cec2dbaa610bf9a,1510331373,195,ShortAdjunctNoIsl,68,7,9516,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,1.06276966066401
01a01ae4917d90369cec2dbaa610bf9a,1510331373,299,BF,325,3,10843,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-0.587992836312391
01a01ae4917d90369cec2dbaa610bf9a,1510331373,19,shortWhetherNoI,17,7,11127,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,1.06276966066401
01a01ae4917d90369cec2dbaa610bf9a,1510331373,211,ShortSubjectNoIsl,97,6,14173,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,0.650079036419911
01a01ae4917d90369cec2dbaa610bf9a,1510331373,302,BF,328,3,16985,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-0.587992836312391
01a01ae4917d90369cec2dbaa610bf9a,1510331373,264,LongSubjectNoIsl,117,5,9799,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,0.23738841217581
01a01ae4917d90369cec2dbaa610bf9a,1510331373,312,BF,206,1,13926,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-1.41337408480059
01a01ae4917d90369cec2dbaa610bf9a,1510331373,77,ShortNaarIsl,33,7,8416,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,1.06276966066401
01a01ae4917d90369cec2dbaa610bf9a,1510331373,200,LongAdjunctNoIsl,69,5,19613,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,0.23738841217581
01a01ae4917d90369cec2dbaa610bf9a,1510331373,289,BF,315,4,15601,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-0.17530221206829
01a01ae4917d90369cec2dbaa610bf9a,1510331373,205,ShortAdjunctIsl,71,7,11327,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,1.06276966066401
01a01ae4917d90369cec2dbaa610bf9a,1510331373,310,BF,204,3,9073,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-0.587992836312391
01a01ae4917d90369cec2dbaa610bf9a,1510331373,242,LongSubjectIsl,107,3,13005,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-0.587992836312391
01a01ae4917d90369cec2dbaa610bf9a,1510331373,178,LongAdjunctIsl,62,7,8235,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,1.06276966066401
01a01ae4917d90369cec2dbaa610bf9a,1510331373,304,BF,331,4,10947,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-0.17530221206829
01a01ae4917d90369cec2dbaa610bf9a,1510331373,120,LongNaarNoIsl,45,7,9643,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,1.06276966066401
01a01ae4917d90369cec2dbaa610bf9a,1510331373,313,BF,207,2,13410,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-1.00068346055649
01a01ae4917d90369cec2dbaa610bf9a,1510331373,130,LongNaarIsl,48,7,6924,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,1.06276966066401
01a01ae4917d90369cec2dbaa610bf9a,1510331373,99,ShortNaarNoIsl,39,7,18462,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,1.06276966066401
01a01ae4917d90369cec2dbaa610bf9a,1510331373,283,BF,309,2,11601,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-1.00068346055649
01a01ae4917d90369cec2dbaa610bf9a,1510331373,221,ShortSubjectIsl,99,5,12652,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,0.23738841217581
01a01ae4917d90369cec2dbaa610bf9a,1510331373,15,localTop,601,6,11103,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,0.650079036419911
01a01ae4917d90369cec2dbaa610bf9a,1510331373,147,ShortAdjunctNoIsl,55,7,19372,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,1.06276966066401
01a01ae4917d90369cec2dbaa610bf9a,1510331373,277,BF,303,2,11411,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-1.00068346055649
01a01ae4917d90369cec2dbaa610bf9a,1510331373,259,ShortSubjectNoIsl,116,7,12331,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,1.06276966066401
01a01ae4917d90369cec2dbaa610bf9a,1510331373,232,LongSubjectNoIsl,104,7,7715,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,1.06276966066401
01a01ae4917d90369cec2dbaa610bf9a,1510331373,295,BF,321,3,8166,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-0.587992836312391
01a01ae4917d90369cec2dbaa610bf9a,1510331373,109,ShortNaarIsl,41,7,12566,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,1.06276966066401
01a01ae4917d90369cec2dbaa610bf9a,1510331373,311,BF,205,1,13296,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-1.41337408480059
01a01ae4917d90369cec2dbaa610bf9a,1510331373,50,longWhetherIsla,24,7,5983,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,1.06276966066401
01a01ae4917d90369cec2dbaa610bf9a,1510331373,152,LongAdjunctNoIsl,56,6,8137,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,0.650079036419911
01a01ae4917d90369cec2dbaa610bf9a,1510331373,281,BF,307,1,9484,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-1.41337408480059
01a01ae4917d90369cec2dbaa610bf9a,1510331373,173,ShortAdjunctIsl,61,7,9881,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,1.06276966066401
01a01ae4917d90369cec2dbaa610bf9a,1510331373,280,BF,306,6,27712,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,0.650079036419911
01a01ae4917d90369cec2dbaa610bf9a,1510331373,274,LongSubjectIsl,120,1,8752,21,F,norsk,Narvik/nordland,norsk,norsk/Engelsk,videregí«ende,N,-1.41337408480059
